Summary,Issue Type,Priority,Labels,Milestone,Description,Acceptance Criteria
"[Task] Render route list in sidebar",Task,P1-high,"type:task,phase:4-mvp,pkg:ui",v0.1.0 — First Light,"Show routes grouped by file or prefix. Show count badge. Click to select. Filter input at top.",Route list renders with correct data
"[Task] Render route nodes on React Flow canvas",Task,P1-high,"type:task,phase:4-mvp,pkg:ui",v0.1.0 — First Light,"Create RouteNode custom component. Render all routes as nodes. Apply automatic layout (dagre or elkjs). Show edges to controllers and middleware.",Nodes render with correct labels and edges
"[Task] Implement node selection and inspector",Task,P1-high,"type:task,phase:4-mvp,pkg:ui",v0.1.0 — First Light,"Click a node → show properties in inspector panel. Show: type, label, file, line, metadata. Show connections (incoming/outgoing edges).",Inspector shows correct data for selected node
"[Task] Add zoom, pan, and minimap",Task,P2-medium,"type:task,phase:4-mvp,pkg:ui",v0.1.0 — First Light,"Enable React Flow controls: zoom buttons, fit view, minimap toggle. Keyboard: Cmd+0 fit, Cmd+/- zoom.",Controls work as expected
"[Task] Add basic search and filter",Task,P2-medium,"type:task,phase:4-mvp,pkg:ui",v0.1.0 — First Light,"Cmd+K opens search. Filter nodes by name/type. Highlight matching nodes on canvas. Clear filter resets view.",Search finds and highlights nodes
"[Task] Add dark/light theme toggle",Task,P2-medium,"type:task,phase:4-mvp,pkg:ui",v0.1.0 — First Light,"Toggle between dark and light CSS variables from UI_GUIDELINES.md. Persist preference in localStorage.",Theme switches correctly and persists
"[Task] Write frontend smoke tests",Task,P1-high,"type:test,phase:4-mvp,pkg:ui",v0.1.0 — First Light,"Test: app renders, sidebar renders, canvas renders, node click opens inspector. Use Vitest + React Testing Library.",Tests pass
"[Epic] Phase 5 — Middleware Analyzer",Epic,P2-medium,"type:epic,phase:5-controllers",v0.2.0 — Connections,"Extract middleware classes, aliases, groups, priority, and usage.",Middleware is fully mapped
"[Task] Implement MiddlewareAnalyzer class",Task,P2-medium,"type:task,phase:5-controllers,pkg:analyzer-middleware",v0.2.0 — Connections,"Implement AnalyzerInterface. Parse middleware classes. Extract alias, FQCN, type, parameters, groups, priority, global flag.","Analyzer produces correct nodes and edges"
"[Task] Detect middleware aliases and groups",Task,P2-medium,"type:task,phase:5-controllers,pkg:analyzer-middleware",v0.2.0 — Connections,"Parse app/Http/Kernel.php (or bootstrap/app.php for Laravel 11+). Extract $middleware, $middlewareGroups, $middlewareAliases, $middlewarePriority.",Aliases and groups correctly mapped
"[Task] Map middleware to routes",Task,P2-medium,"type:task,phase:5-controllers,pkg:analyzer-middleware",v0.2.0 — Connections,"Cross-reference route middleware with middleware definitions. Generate Middleware nodes and usage edges.",Route→Middleware edges are correct
"[Task] Write middleware analyzer tests",Task,P2-medium,"type:test,phase:5-controllers,pkg:analyzer-middleware",v0.2.0 — Connections,"Fixture Kernel.php and middleware classes. Test alias resolution, group detection, route mapping.",All tests pass
"[Task] Create MiddlewareNode custom React component",Task,P2-medium,"type:task,phase:5-controllers,pkg:ui",v0.2.0 — Connections,"Create MiddlewareNode for React Flow with amber coloring per UI_GUIDELINES.md. Show alias and applied-to count.",Node renders correctly with middleware styling
"[Epic] Phase 5 — Controller Analyzer",Epic,P1-high,"type:epic,phase:5-controllers",v0.2.0 — Connections,"Extract controller classes with methods, dependencies, traits, return types.",Controllers fully analyzed with dependency edges
"[Task] Implement ControllerAnalyzer class",Task,P1-high,"type:task,phase:5-controllers,pkg:analyzer-controllers",v0.2.0 — Connections,"Implement AnalyzerInterface. Parse controller files. Extract FQCN, namespace, parent, interfaces, traits, methods, dependencies.",Analyzer produces correct controller nodes
"[Task] Extract controller methods with signatures",Task,P1-high,"type:task,phase:5-controllers,pkg:analyzer-controllers",v0.2.0 — Connections,"For each method: name, visibility, parameters (name, type, nullable, default), return type, attributes (PHP 8 attributes), line range.",Methods are fully extracted with signatures
"[Task] Extract constructor injection dependencies",Task,P1-high,"type:task,phase:5-controllers,pkg:analyzer-controllers",v0.2.0 — Connections,"Parse __construct parameters. Resolve FQCN for each type-hinted parameter. Generate Controller→Service/Repository DependsOn edges.",Dependencies correctly identified and linked
"[Task] Extract trait usage",Task,P2-medium,"type:task,phase:5-controllers,pkg:analyzer-controllers",v0.2.0 — Connections,"Detect use statements inside class body. Resolve trait FQCNs. Generate UsesTrait edges.",Traits are detected and linked
"[Task] Extract parent class and interfaces",Task,P2-medium,"type:task,phase:5-controllers,pkg:analyzer-controllers",v0.2.0 — Connections,"Detect extends and implements. Resolve FQCNs. Generate Extends and Implements edges.",Inheritance chain is mapped
"[Task] Write controller analyzer tests",Task,P1-high,"type:test,phase:5-controllers,pkg:analyzer-controllers",v0.2.0 — Connections,"Fixture controllers covering: basic, resource, invokable, DI, traits, attributes. Test each extraction. 90%+ coverage.",All tests pass
"[Task] Create ControllerNode custom React component",Task,P1-high,"type:task,phase:5-controllers,pkg:ui",v0.2.0 — Connections,"Create ControllerNode for React Flow with violet coloring. Show method count. Expandable to show method list.",Node renders with correct styling and expansion
"[Task] Add controller section to sidebar",Task,P1-high,"type:task,phase:5-controllers,pkg:ui",v0.2.0 — Connections,"Add Controllers section to sidebar. List all controllers with method count. Click to select on canvas.",Sidebar shows controllers correctly
"[Task] Update inspector for controller properties",Task,P1-high,"type:task,phase:5-controllers,pkg:ui",v0.2.0 — Connections,"Show controller details in inspector: methods, dependencies, traits, parent class, file with code preview.",Inspector shows full controller information
"[Epic] Phase 6 — Service Analyzer",Epic,P2-medium,"type:epic,phase:6-services",v0.3.0 — Depth,"Detect and analyze service classes with their dependency chains.",Service dependency graph is complete
"[Task] Implement ServiceAnalyzer class",Task,P2-medium,"type:task,phase:6-services,pkg:analyzer-services",v0.3.0 — Depth,"Implement AnalyzerInterface. Detect service classes by: convention (app/Services/), interface binding, or explicit config. Extract dependencies, methods, interfaces.",Analyzer produces correct service nodes
"[Task] Detect service classes by convention and binding",Task,P2-medium,"type:task,phase:6-services,pkg:analyzer-services",v0.3.0 — Depth,"Look in app/Services/. Also check ServiceProvider bindings for interface→implementation mappings.",Services detected by both methods
"[Task] Extract service dependency chain",Task,P2-medium,"type:task,phase:6-services,pkg:analyzer-services",v0.3.0 — Depth,"Parse constructor injection. Map Service→Service, Service→Repository dependencies. Build multi-level dependency tree.",Dependency chain is correctly mapped
"[Task] Write service analyzer tests",Task,P2-medium,"type:test,phase:6-services,pkg:analyzer-services",v0.3.0 — Depth,"Fixture services with nested dependencies. Test detection, extraction, chain building.",All tests pass
"[Epic] Phase 6 — Repository Analyzer",Epic,P2-medium,"type:epic,phase:6-services",v0.3.0 — Depth,"Map repository classes to their models.",Repository→Model mapping is complete
"[Task] Implement RepositoryAnalyzer class",Task,P2-medium,"type:task,phase:6-services,pkg:analyzer-repositories",v0.3.0 — Depth,"Implement AnalyzerInterface. Detect repositories in app/Repositories/. Extract: model references, query methods, interface implementations.",Analyzer produces correct repository nodes and model edges
"[Task] Write repository analyzer tests",Task,P2-medium,"type:test,phase:6-services,pkg:analyzer-repositories",v0.3.0 — Depth,"Fixture repositories with model references. Test detection and mapping.",All tests pass
"[Epic] Phase 7 — Model Analyzer",Epic,P1-high,"type:epic,phase:7-models",v0.4.0 — Relationships,"Extract Eloquent model metadata: relationships, scopes, casts, fillable, observers.",Model relationship graph is complete
"[Task] Implement ModelAnalyzer class",Task,P1-high,"type:task,phase:7-models,pkg:analyzer-models",v0.4.0 — Relationships,"Implement AnalyzerInterface. Parse model files. Extract: table name, relationships, scopes, casts, fillable, guarded, hidden, appends, observers, events, factory.",Analyzer produces correct model nodes with full metadata
"[Task] Extract model relationships",Task,P1-high,"type:task,phase:7-models,pkg:analyzer-models",v0.4.0 — Relationships,"Detect hasMany, belongsTo, hasOne, belongsToMany, morphMany, morphTo, hasManyThrough, hasOneThrough. Extract related model, foreign key, local key. Generate HasRelationship edges.",All relationship types are detected and correctly linked
"[Task] Extract model scopes",Task,P2-medium,"type:task,phase:7-models,pkg:analyzer-models",v0.4.0 — Relationships,"Detect scope methods (scopeActive, scopeVerified). Extract scope name and parameters.",Scopes are correctly detected
"[Task] Extract model casts and attributes",Task,P2-medium,"type:task,phase:7-models,pkg:analyzer-models",v0.4.0 — Relationships,"Parse $casts, $fillable, $guarded, $hidden, $appends arrays. Parse accessor/mutator methods.",All model attributes are extracted
"[Task] Extract model observers and events",Task,P2-medium,"type:task,phase:7-models,pkg:analyzer-models",v0.4.0 — Relationships,"Detect $dispatchesEvents, boot() event hooks, and associated Observer classes.",Model events and observers are mapped
"[Task] Write model analyzer tests",Task,P1-high,"type:test,phase:7-models,pkg:analyzer-models",v0.4.0 — Relationships,"Fixture models covering all relationship types, scopes, casts. 90%+ coverage.",All tests pass
"[Task] Create ModelNode custom React component",Task,P1-high,"type:task,phase:7-models,pkg:ui",v0.4.0 — Relationships,"Create ModelNode with red coloring. Show relationship count. Expandable to show relationship list with type icons.",Node renders with correct styling
"[Task] Create ER diagram view",Task,P1-high,"type:task,phase:7-models,pkg:ui",v0.4.0 — Relationships,"Dedicated graph view showing only models and their relationships. ER-diagram style with cardinality labels (1:N, N:M).",ER diagram renders correctly with relationship labels
"[Epic] Phase 7 — Database/Migration Analyzer",Epic,P2-medium,"type:epic,phase:7-models",v0.4.0 — Relationships,"Parse migration files to extract table schemas.",Database schema is fully mapped
"[Task] Implement DatabaseAnalyzer class",Task,P2-medium,"type:task,phase:7-models,pkg:analyzer-models",v0.4.0 — Relationships,"Implement AnalyzerInterface. Parse migration files. Extract: table creates, column definitions, indexes, foreign keys.",Analyzer produces correct migration/table nodes
"[Task] Extract table definitions from migrations",Task,P2-medium,"type:task,phase:7-models,pkg:analyzer-models",v0.4.0 — Relationships,"Parse Schema::create() and Schema::table() calls. Extract table name, columns with types, nullable, default values.",Tables and columns are correctly extracted
"[Task] Extract foreign keys and indexes",Task,P2-medium,"type:task,phase:7-models,pkg:analyzer-models",v0.4.0 — Relationships,"Parse ->foreign(), ->index(), ->unique(). Generate table→table relationship edges via foreign keys.",Foreign keys generate correct inter-table edges
"[Task] Write database analyzer tests",Task,P2-medium,"type:test,phase:7-models,pkg:analyzer-models",v0.4.0 — Relationships,"Fixture migration files. Test table extraction, column detection, foreign key mapping.",All tests pass
"[Epic] Phase 8 — Event Analyzer",Epic,P2-medium,"type:epic,phase:8-events",v0.5.0 — Flow,"Map event dispatching and listening flow.",Event→Listener→Job flow is complete
"[Task] Implement EventAnalyzer class",Task,P2-medium,"type:task,phase:8-events,pkg:analyzer-events",v0.5.0 — Flow,"Implement AnalyzerInterface. Parse event classes, EventServiceProvider, and listener classes. Extract: event FQCN, listeners, queued status, properties, dispatchers.",Event flow is fully mapped
"[Task] Detect event-listener bindings",Task,P2-medium,"type:task,phase:8-events,pkg:analyzer-events",v0.5.0 — Flow,"Parse EventServiceProvider $listen array. Also detect auto-discovered listeners (Laravel 11+). Generate Event→Listener edges.",All bindings are detected
"[Task] Detect event dispatching locations",Task,P2-medium,"type:task,phase:8-events,pkg:analyzer-events",v0.5.0 — Flow,"Scan for event() helper, Event::dispatch(), and $this->dispatchEvent() calls. Link dispatching class to event. Generate Dispatches edges.",Dispatching locations are identified
"[Task] Write event analyzer tests",Task,P2-medium,"type:test,phase:8-events,pkg:analyzer-events",v0.5.0 — Flow,"Fixture events, listeners, EventServiceProvider. Test binding detection and dispatch tracking.",All tests pass
"[Epic] Phase 8 — Job Analyzer",Epic,P2-medium,"type:epic,phase:8-events",v0.5.0 — Flow,"Analyze queue jobs with configuration.",Jobs are fully analyzed with queue config
"[Task] Implement JobAnalyzer class",Task,P2-medium,"type:task,phase:8-events,pkg:analyzer-jobs",v0.5.0 — Flow,"Implement AnalyzerInterface. Parse job classes. Extract: queue, connection, tries, timeout, backoff, unique, batch, chain, middleware, dispatchers.",Job nodes include full queue configuration
"[Task] Detect job dispatching locations",Task,P2-medium,"type:task,phase:8-events,pkg:analyzer-jobs",v0.5.0 — Flow,"Scan for dispatch(), dispatchIf(), dispatchUnless(), Bus::dispatch() calls. Generate Queues edges.",Dispatching locations are identified
"[Task] Write job analyzer tests",Task,P2-medium,"type:test,phase:8-events,pkg:analyzer-jobs",v0.5.0 — Flow,"Fixture job classes with various configurations. Test extraction and dispatch tracking.",All tests pass
"[Epic] Phase 9 — Policy Analyzer",Epic,P2-medium,"type:epic,phase:9-policies",v0.6.0 — Authority,"Map policies to models with authorization methods.",Policy→Model mapping is complete
"[Task] Implement PolicyAnalyzer class",Task,P2-medium,"type:task,phase:9-policies,pkg:analyzer-policies",v0.6.0 — Authority,"Implement AnalyzerInterface. Parse policy classes. Extract: associated model, policy methods, parameters, return types. Generate Policy→Model edges.",Policies are correctly mapped to models
"[Task] Write policy analyzer tests",Task,P2-medium,"type:test,phase:9-policies,pkg:analyzer-policies",v0.6.0 — Authority,"Fixture policies. Test model mapping and method extraction.",All tests pass
"[Epic] Phase 9 — Schedule Analyzer",Epic,P2-medium,"type:epic,phase:9-policies",v0.6.0 — Authority,"Extract scheduled commands from Console Kernel.",Schedule is fully mapped
"[Task] Implement ScheduleAnalyzer class",Task,P2-medium,"type:task,phase:9-policies,pkg:analyzer-schedule",v0.6.0 — Authority,"Implement AnalyzerInterface. Parse Console Kernel schedule() method. Extract: command, expression, frequency, timezone, constraints (withoutOverlapping, runInBackground, etc).",Schedule entries are correctly extracted
"[Task] Write schedule analyzer tests",Task,P2-medium,"type:test,phase:9-policies,pkg:analyzer-schedule",v0.6.0 — Authority,"Fixture Kernel with various schedule configurations. Test extraction.",All tests pass
"[Epic] Phase 10 — Dependency Graph",Epic,P1-high,"type:epic,phase:10-deps",v0.7.0 — Big Picture,"Cross-analyzer dependency resolution. Full architecture view.",Complete application dependency graph
"[Task] Implement DependencyAnalyzer class",Task,P1-high,"type:task,phase:10-deps,pkg:analyzer-dependencies",v0.7.0 — Big Picture,"Consume results from all other analyzers. Build full dependency graph: Controller→Service→Repository→Model→Events→Jobs. Calculate depth levels.",Full dependency tree is generated
"[Task] Detect circular dependencies",Task,P2-medium,"type:task,phase:10-deps,pkg:analyzer-dependencies",v0.7.0 — Big Picture,"Analyze dependency graph for cycles. Flag circular dependencies as warnings.",Circular dependencies are detected and reported
"[Task] Create architecture dashboard view",Task,P1-high,"type:task,phase:10-deps,pkg:ui",v0.7.0 — Big Picture,"Overview page showing: total counts per type, full dependency graph, top-level architecture diagram, health metrics.",Dashboard renders with complete statistics
"[Task] Write dependency analyzer tests",Task,P1-high,"type:test,phase:10-deps,pkg:analyzer-dependencies",v0.7.0 — Big Picture,"Test full dependency resolution with multiple analyzer results. Test circular dependency detection.",All tests pass
"[Epic] Phase 11 — Tauri Desktop App",Epic,P2-medium,"type:epic,phase:11-desktop",v0.8.0 — Desktop,"Native desktop application wrapping the web UI.",Desktop app launches and analyzes local projects
"[Task] Initialize Tauri project",Task,P2-medium,"type:task,phase:11-desktop,pkg:desktop",v0.8.0 — Desktop,"Set up Tauri in apps/desktop/. Configure: window size, title, icon, menu bar. Embed web UI as webview.","Tauri app builds and launches with web UI"
"[Task] Implement native file picker",Task,P2-medium,"type:task,phase:11-desktop,pkg:desktop",v0.8.0 — Desktop,"Native dialog to select project directory. Pass path to scanner via Tauri command.",File picker works and triggers analysis
"[Task] Implement Tauri commands for analysis",Task,P2-medium,"type:task,phase:11-desktop,pkg:desktop",v0.8.0 — Desktop,"Tauri commands (Rust) that invoke PHP scanner/analyzer. Return JSON to frontend.",Analysis runs from desktop and returns results
"[Task] Add auto-update support",Task,P3-low,"type:task,phase:11-desktop,pkg:desktop",v0.8.0 — Desktop,"Configure Tauri updater. Check for updates on launch. Show update notification.",Auto-update works
"[Task] Build and package for macOS/Windows/Linux",Task,P2-medium,"type:task,phase:11-desktop,pkg:desktop",v0.8.0 — Desktop,"CI workflow to build Tauri app for all three platforms. Produce downloadable artifacts.","Builds succeed for all platforms"
